ticker,date,sample_stratum,odd_lot_trade_pct,duplicate_exact_ratio_pct_raw,max_trades_same_timestamp_raw,trade_vwap_vs_daily_vw_diff_pct_raw,scale_bucket_vw,scale_bucket_high,outside_daily_regular_pct,core_outside_daily_pct,core_outside_daily_volume_pct,outside_1m_regular_pct,outside_1m_odd_lot_pct,outside_1m_round_lot_pct,core_outside_1m_pct,outside_minutes_pct_active,rows_after_parse,acceptance_label,file,issues_list,warns_list,m.l,m.h,m.vw,m.price_min,m.price_max,m.trade_vwap,m.rows_after_parse,m.ohlcv_1m_found,m.ohlcv_daily_found,m.ohlcv_1m_path,m.ohlcv_daily_path,year_band,signature_band,severity_band,sample_manifest,sample_hash
APAC,2008-10-10,SOFT_FAIL__control,0.0,7.8431372549019605,4,0.03829542329939988,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,153.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\APAC\year=2008\month=10\day=2008-10-10\market.parquet,[],['duplicate_excess_ratio_gt_threshold'],1.4,1.61,1.4411,1.4,1.61,1.4405481246548324,153.0,True,True,D:\ohlcv_1m\ticker=APAC\year=2008\month=10\minute_aggs_APAC_2008_10.parquet,D:\ohlcv_daily\ticker=APAC\year=2008\day_aggs_APAC_2008.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,000087f68ce5dfa2d778c65d5b12dfb46c6a17f4
APOG,2010-09-21,HARD_FAIL__control,0.0,16.807165437302423,11,0.11097184056640393,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1898.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\APOG\year=2010\month=09\day=2010-09-21\market.parquet,['duplicate_excess_ratio_gt_hard_cap'],[],9.21,9.77,9.4808,9.21,9.77,9.49132101826042,1898.0,True,True,D:\ohlcv_1m\ticker=APOG\year=2010\month=09\minute_aggs_APOG_2010_09.parquet,D:\ohlcv_daily\ticker=APOG\year=2010\day_aggs_APOG_2010.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,0000b9a6d92327dd06e71fe6149815bebf2a6f82
CATO,2010-08-12,SOFT_FAIL__control,0.0,3.4047919293820934,3,0.06539726122321557,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,793.0,review,D:\trades_ticks_prod_2005_2026\CATO\year=2010\month=08\day=2010-08-12\market.parquet,[],['duplicate_exact_trade_rows_present'],22.32,23.07,22.8026,22.32,23.07,22.787687724112317,793.0,True,True,D:\ohlcv_1m\ticker=CATO\year=2010\month=08\minute_aggs_CATO_2010_08.parquet,D:\ohlcv_daily\ticker=CATO\year=2010\day_aggs_CATO_2010.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,0000f1ff2fc92deb90bcdfc854315d5de06806d3
CAW,2010-03-15,SOFT_FAIL__control,0.0,0.0,2,0.00529550190075292,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,47.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\CAW\year=2010\month=03\day=2010-03-15\market.parquet,[],['duplicate_exact_trade_rows_present'],5.19,5.28,5.2159,5.19,5.28,5.216176208083642,47.0,True,True,D:\ohlcv_1m\ticker=CAW\year=2010\month=03\minute_aggs_CAW_2010_03.parquet,D:\ohlcv_daily\ticker=CAW\year=2010\day_aggs_CAW_2010.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,00009edb5af99b6eb26fddbb1d26b414b8647ac0
CBNK,2008-12-15,SOFT_FAIL__control,0.0,0.0,3,0.0003502821871369423,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\CBNK\year=2008\month=12\day=2008-12-15\market.parquet,[],['rows_lt_10'],11.0,11.04,11.0004,11.0,11.04,11.000361467558287,7.0,True,True,D:\ohlcv_1m\ticker=CBNK\year=2008\month=12\minute_aggs_CBNK_2008_12.parquet,D:\ohlcv_daily\ticker=CBNK\year=2008\day_aggs_CBNK_2008.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,00003609d3b3a7c1f29d6727242b96d6cafa4d23
CVGW,2012-07-25,SOFT_FAIL__control,0.0,13.620071684587815,3,0.05298083722287489,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,279.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\CVGW\year=2012\month=07\day=2012-07-25\market.parquet,[],['duplicate_excess_ratio_gt_threshold'],25.2101,26.18,25.4883,25.2101,26.18,25.47479608526612,279.0,True,True,D:\ohlcv_1m\ticker=CVGW\year=2012\month=07\minute_aggs_CVGW_2012_07.parquet,D:\ohlcv_daily\ticker=CVGW\year=2012\day_aggs_CVGW_2012.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,000061acd4bf55dc57cb9eef725d54c2e275bd74
CZWI,2012-09-12,HARD_FAIL__control,0.0,0.0,2,0.3522372967051511,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\CZWI\year=2012\month=09\day=2012-09-12\market.parquet,['duplicate_excess_ratio_gt_hard_cap'],['rows_lt_10'],5.85,5.988,5.9335,5.85,5.988,5.9126,4.0,True,True,D:\ohlcv_1m\ticker=CZWI\year=2012\month=09\minute_aggs_CZWI_2012_09.parquet,D:\ohlcv_daily\ticker=CZWI\year=2012\day_aggs_CZWI_2012.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,000060bf5c11e190dc82055633b251e9b15c70fb
DSPG,2010-06-02,SOFT_FAIL__control,0.0,10.200927357032457,6,0.028658857363127174,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,647.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\DSPG\year=2010\month=06\day=2010-06-02\market.parquet,[],['duplicate_excess_ratio_gt_threshold'],6.58,6.76,6.691,6.58,6.76,6.689082435853833,647.0,True,True,D:\ohlcv_1m\ticker=DSPG\year=2010\month=06\minute_aggs_DSPG_2010_06.parquet,D:\ohlcv_daily\ticker=DSPG\year=2010\day_aggs_DSPG_2010.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,0000ec0175f30082445ecccec304e47a1f9f2009
GTN,2010-03-09,SOFT_FAIL__control,0.22727272727272727,6.136363636363637,6,0.004661819449865331,~1x,~1x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\GTN\year=2010\month=03\day=2010-03-09\market.parquet,[],['duplicate_excess_ratio_gt_threshold' 'off_session_trades_present'],1.98,2.15,2.1104,1.98,2.15,2.11030161696233,440.0,True,True,D:\ohlcv_1m\ticker=GTN\year=2010\month=03\minute_aggs_GTN_2010_03.parquet,D:\ohlcv_daily\ticker=GTN\year=2010\day_aggs_GTN_2010.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,00000c52e9d0c08838dec55412fde522af6021ef
HRZN,2011-11-03,SOFT_FAIL__control,0.0,8.16326530612245,4,0.01072874698373174,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,196.0,review,D:\trades_ticks_prod_2005_2026\HRZN\year=2011\month=11\day=2011-11-03\market.parquet,[],['duplicate_excess_ratio_gt_threshold'],14.3,15.05,14.6252,14.3,15.05,14.626769100703864,196.0,True,True,D:\ohlcv_1m\ticker=HRZN\year=2011\month=11\minute_aggs_HRZN_2011_11.parquet,D:\ohlcv_daily\ticker=HRZN\year=2011\day_aggs_HRZN_2011.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,0000f38b16ef09465bcc1e5093e9869cac9364d2
HSTM,2008-02-15,SOFT_FAIL__control,0.0,0.0,2,0.07736737854846568,~1x,~1x,0.0,0.0,0.0,,,,,0.0,36.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\HSTM\year=2008\month=02\day=2008-02-15\market.parquet,[],['duplicate_exact_trade_rows_present' 'off_session_trades_present'],3.02,3.25,3.1955,3.02,3.25,3.193027725418484,36.0,True,True,D:\ohlcv_1m\ticker=HSTM\year=2008\month=02\minute_aggs_HSTM_2008_02.parquet,D:\ohlcv_daily\ticker=HSTM\year=2008\day_aggs_HSTM_2008.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,0000f1fb1c6b21279e3e203d747511e7c4ced3cc
IMMR,2006-11-28,SOFT_FAIL__control,0.0,13.052208835341366,3,0.011249120429357442,~1x,~1x,0.0,0.0,0.0,0.4016064257028112,,0.4016064257028112,0.4016064257028112,0.0,498.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\IMMR\year=2006\month=11\day=2006-11-28\market.parquet,[],['duplicate_excess_ratio_gt_threshold' 'off_session_trades_present'],6.6,6.79,6.6705,6.6,6.79,6.669749627421759,498.0,True,True,D:\ohlcv_1m\ticker=IMMR\year=2006\month=11\minute_aggs_IMMR_2006_11.parquet,D:\ohlcv_daily\ticker=IMMR\year=2006\day_aggs_IMMR_2006.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,000084176644d9989a147bd9e423973012bab3e6
IVC,2010-04-16,SOFT_FAIL__control,0.0,16.0932944606414,10,0.05445375298992747,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1715.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\IVC\year=2010\month=04\day=2010-04-16\market.parquet,[],['duplicate_excess_ratio_gt_threshold'],25.96,26.815,26.2961,25.96,26.815,26.310419213339983,1715.0,True,True,D:\ohlcv_1m\ticker=IVC\year=2010\month=04\minute_aggs_IVC_2010_04.parquet,D:\ohlcv_daily\ticker=IVC\year=2010\day_aggs_IVC_2010.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,0000e4e34873149ca1cab5b57bbbb81d8d1f321a
MYGN,2012-06-15,HARD_FAIL__control,0.0,21.030367124943343,20,0.011269609170067975,~1x,~1x,0.0,0.0,0.0,0.07554011179936546,,0.07554011179936546,0.07554011179936546,0.0,6619.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\MYGN\year=2012\month=06\day=2012-06-15\market.parquet,['duplicate_excess_ratio_gt_hard_cap'],[],23.26,24.09,23.6901,23.26,24.09,23.687430218318003,6619.0,True,True,D:\ohlcv_1m\ticker=MYGN\year=2012\month=06\minute_aggs_MYGN_2012_06.parquet,D:\ohlcv_daily\ticker=MYGN\year=2012\day_aggs_MYGN_2012.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,00003ba43905bce3163f9f4ddbac1239f2fef814
ORRF,2011-10-21,SOFT_FAIL__control,0.0,11.602209944751381,3,0.20685332248887284,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,181.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ORRF\year=2011\month=10\day=2011-10-21\market.parquet,[],['duplicate_excess_ratio_gt_threshold'],12.82,13.45,13.0926,12.82,13.45,13.119682478100177,181.0,True,True,D:\ohlcv_1m\ticker=ORRF\year=2011\month=10\minute_aggs_ORRF_2011_10.parquet,D:\ohlcv_daily\ticker=ORRF\year=2011\day_aggs_ORRF_2011.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,00006289c83e1d46a228105a7108e0532d79edaa
PIC,2012-10-25,SOFT_FAIL__control,0.0,0.0,1,4.693487928176921e-05,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\PIC\year=2012\month=10\day=2012-10-25\market.parquet,[],['rows_lt_10'],17.5999,17.63,17.6216,17.5999,17.63,17.62160827067669,3.0,True,True,D:\ohlcv_1m\ticker=PIC\year=2012\month=10\minute_aggs_PIC_2012_10.parquet,D:\ohlcv_daily\ticker=PIC\year=2012\day_aggs_PIC_2012.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,0000e465c92056475e4472fd8d3ad76d2ef21021
ROIAK,2006-02-15,SOFT_FAIL__control,0.0,2.99837925445705,4,0.0012991493702971344,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1234.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ROIAK\year=2006\month=02\day=2006-02-15\market.parquet,[],['duplicate_exact_trade_rows_present' 'off_session_trades_present'],10.11,10.3,10.1889,10.11,10.3,10.18876763096981,1234.0,True,True,D:\ohlcv_1m\ticker=ROIAK\year=2006\month=02\minute_aggs_ROIAK_2006_02.parquet,D:\ohlcv_daily\ticker=ROIAK\year=2006\day_aggs_ROIAK_2006.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,00009aad002ebffef25bfa95bf2c22ae961129b2
SMMF,2012-11-02,HARD_FAIL__control,0.0,33.33333333333333,2,0.014360750762644219,~1x,~1x,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,12.0,review,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\SMMF\year=2012\month=11\day=2012-11-02\market.parquet,['duplicate_excess_ratio_gt_hard_cap'],[],4.95,5.0,4.9955,4.95,5.0,4.994782608695652,12.0,True,True,D:\ohlcv_1m\ticker=SMMF\year=2012\month=11\minute_aggs_SMMF_2012_11.parquet,D:\ohlcv_daily\ticker=SMMF\year=2012\day_aggs_SMMF_2012.parquet,early,near1x_low1m,sev_low,57f_stratified_v0_1,0000a6dbd1db9bbd69343bf8edd720df46436d56
